  Global optimal solution found.
  Objective value:                              60652.71
  Objective bound:                              60652.71
  Infeasibilities:                             0.3885781E-15
  Extended solver steps:                             508
  Total solver iterations:                          3932


                       Variable           Value        Reduced Cost
                      C( 32, 4)        121.5300            0.000000
                      C( 33, 1)        185.9900            0.000000
                      C( 33, 2)        255.1400            0.000000
                      C( 33, 3)        549.7500            0.000000
                      C( 33, 4)        169.7900            0.000000
                      C( 34, 1)        185.9900            0.000000
                      C( 34, 2)        255.1400            0.000000
                      C( 34, 3)        549.7500            0.000000
                      C( 34, 4)        169.7900            0.000000
                      C( 35, 1)        192.5400            0.000000
                      C( 35, 2)        206.8600            0.000000
                      C( 35, 3)        426.5100            0.000000
                      C( 35, 4)        120.0500            0.000000
                      C( 36, 1)        192.5400            0.000000
                      C( 36, 2)        206.8600            0.000000
                      C( 36, 3)        426.5100            0.000000
                      C( 36, 4)        120.0500            0.000000
                      C( 37, 1)        203.7200            0.000000
                      C( 37, 2)        176.3200            0.000000
                      C( 37, 3)        451.1300            0.000000
                      C( 37, 4)        89.51000            0.000000
                      C( 38, 1)        203.7200            0.000000
                      C( 38, 2)        176.3200            0.000000
                      C( 38, 3)        451.1300            0.000000
                      C( 38, 4)        89.51000            0.000000
                      C( 39, 1)        204.0900            0.000000
                      C( 39, 2)        175.3500            0.000000
                      C( 39, 3)        469.9600            0.000000
                      C( 39, 4)        90.00000            0.000000
                      C( 40, 1)        204.0900            0.000000
                      C( 40, 2)        175.3500            0.000000
                      C( 40, 3)        469.9600            0.000000
                      C( 40, 4)        90.00000            0.000000
                      C( 41, 1)        207.3500            0.000000
                      C( 41, 2)        177.6900            0.000000
                      C( 41, 3)        433.0700            0.000000
                      C( 41, 4)        90.88000            0.000000
                      C( 42, 1)        207.3500            0.000000
                      C( 42, 2)        177.6900            0.000000
                      C( 42, 3)        433.0700            0.000000
                      C( 42, 4)        90.88000            0.000000
                      C( 43, 1)        214.6400            0.000000
                      C( 43, 2)        223.8400            0.000000
                      C( 43, 3)        394.7500            0.000000
                      C( 43, 4)        138.4800            0.000000
                      C( 44, 1)        214.6400            0.000000
                      C( 44, 2)        223.8400            0.000000
                      C( 44, 3)        394.7500            0.000000
                      C( 44, 4)        138.4800            0.000000
                      C( 45, 1)        262.1500            0.000000
                      C( 45, 2)        275.2800            0.000000
                      C( 45, 3)        388.6900            0.000000
                      C( 45, 4)        189.9200            0.000000
                      C( 46, 1)        262.1500            0.000000
                      C( 46, 2)        275.2800            0.000000
                      C( 46, 3)        388.6900            0.000000
                      C( 46, 4)        189.9200            0.000000
                      C( 47, 1)        242.5900            0.000000
                      C( 47, 2)        231.9600            0.000000
                      C( 47, 3)        377.9000            0.000000
                      C( 47, 4)        146.6000            0.000000
                      C( 48, 1)        242.5900            0.000000
                      C( 48, 2)        231.9600            0.000000
                      C( 48, 3)        377.9000            0.000000
                      C( 48, 4)        146.6000            0.000000
                      C( 49, 1)        236.3100            0.000000
                      C( 49, 2)        178.9400            0.000000
                      C( 49, 3)        387.5000            0.000000
                      C( 49, 4)        93.58000            0.000000
                      C( 50, 1)        236.3100            0.000000
                      C( 50, 2)        178.9400            0.000000
                      C( 50, 3)        387.5000            0.000000
                      C( 50, 4)        93.58000            0.000000
                      C( 51, 1)        232.8600            0.000000
                      C( 51, 2)        137.7000            0.000000
                      C( 51, 3)        432.3100            0.000000
                      C( 51, 4)        52.35000            0.000000
                      C( 52, 1)        232.8600            0.000000
                      C( 52, 2)        137.7000            0.000000
                      C( 52, 3)        432.3100            0.000000
                      C( 52, 4)        52.35000            0.000000
                      C( 53, 1)        250.8300            0.000000
                      C( 53, 2)        106.9600            0.000000
                      C( 53, 3)        451.1600            0.000000
                      C( 53, 4)        71.20000            0.000000
                      C( 54, 1)        250.8300            0.000000
                      C( 54, 2)        106.9600            0.000000
                      C( 54, 3)        451.1600            0.000000
                      C( 54, 4)        71.20000            0.000000
                      C( 55, 1)        255.2700            0.000000
                      C( 55, 2)        143.9800            0.000000
                      C( 55, 3)        406.3200            0.000000
                      C( 55, 4)        58.63000            0.000000
                      C( 56, 1)        255.2700            0.000000
                      C( 56, 2)        143.9800            0.000000
                      C( 56, 3)        406.3200            0.000000
                      C( 56, 4)        58.63000            0.000000
                      C( 57, 1)        295.0900            0.000000
                      C( 57, 2)        255.7400            0.000000
                      C( 57, 3)        335.6300            0.000000
                      C( 57, 4)        171.2200            0.000000
                      C( 58, 1)        295.0900            0.000000
                      C( 58, 2)        255.7400            0.000000
                      C( 58, 3)        335.6300            0.000000
                      C( 58, 4)        171.2200            0.000000
                      C( 59, 1)        281.5700            0.000000
                      C( 59, 2)        155.1000            0.000000
                      C( 59, 3)        378.4600            0.000000
                      C( 59, 4)        70.58000            0.000000
                      C( 60, 1)        281.5700            0.000000
                      C( 60, 2)        155.1000            0.000000
                      C( 60, 3)        378.4600            0.000000
                      C( 60, 4)        70.58000            0.000000
                      C( 61, 1)        284.2500            0.000000
                      C( 61, 2)        85.22000            0.000000
                      C( 61, 3)        382.1500            0.000000
                      C( 61, 4)        0.000000            0.000000
                      C( 62, 1)        284.2500            0.000000
                      C( 62, 2)        85.22000            0.000000
                      C( 62, 3)        382.1500            0.000000
                      C( 62, 4)        0.000000            0.000000
                      C( 63, 1)        364.5800            0.000000
                      C( 63, 2)        53.58000            0.000000
                      C( 63, 3)        345.7900            0.000000
                      C( 63, 4)        81.09000            0.000000
                      C( 64, 1)        364.5800            0.000000
                      C( 64, 2)        53.58000            0.000000
                      C( 64, 3)        345.7900            0.000000
                      C( 64, 4)        81.09000            0.000000
                      C( 65, 1)        325.5500            0.000000
                      C( 65, 2)        79.96000            0.000000
                      C( 65, 3)        348.5200            0.000000
                      C( 65, 4)        42.06000            0.000000
                      C( 66, 1)        325.5500            0.000000
                      C( 66, 2)        79.96000            0.000000
                      C( 66, 3)        348.5200            0.000000
                      C( 66, 4)        42.06000            0.000000
                      C( 67, 1)        333.0900            0.000000
                      C( 67, 2)        107.3400            0.000000
                      C( 67, 3)        329.8500            0.000000
                      C( 67, 4)        51.17000            0.000000
                      C( 68, 1)        333.0900            0.000000
                      C( 68, 2)        107.3400            0.000000
                      C( 68, 3)        329.8500            0.000000
                      C( 68, 4)        51.17000            0.000000
                      C( 69, 1)        326.3100            0.000000
                      C( 69, 2)        163.5900            0.000000
                      C( 69, 3)        319.2100            0.000000
                      C( 69, 4)        79.07000            0.000000
                      C( 70, 1)        326.3100            0.000000
                      C( 70, 2)        163.5900            0.000000
                      C( 70, 3)        319.2100            0.000000
                      C( 70, 4)        79.07000            0.000000
                      C( 71, 1)        315.2900            0.000000
                      C( 71, 2)        250.1200            0.000000
                      C( 71, 3)        291.2100            0.000000
                      C( 71, 4)        165.6000            0.000000
                      C( 72, 1)        315.2900            0.000000
                      C( 72, 2)        250.1200            0.000000
                      C( 72, 3)        291.2100            0.000000
                      C( 72, 4)        165.6000            0.000000
                      C( 73, 1)        356.5300            0.000000
                      C( 73, 2)        309.9600            0.000000
                      C( 73, 3)        311.1400            0.000000
                      C( 73, 4)        225.4400            0.000000
                      C( 74, 1)        356.5300            0.000000
                      C( 74, 2)        309.9600            0.000000
                      C( 74, 3)        311.1400            0.000000
                      C( 74, 4)        225.4400            0.000000
                      C( 75, 1)        341.3700            0.000000
                      C( 75, 2)        228.6800            0.000000
                      C( 75, 3)        290.8400            0.000000
                      C( 75, 4)        144.1600            0.000000
                      C( 76, 1)        341.3700            0.000000
                      C( 76, 2)        228.6800            0.000000
                      C( 76, 3)        290.8400            0.000000
                      C( 76, 4)        144.1600            0.000000
                      C( 77, 1)        410.5900            0.000000
                      C( 77, 2)        92.08000            0.000000
                      C( 77, 3)        372.2400            0.000000
                      C( 77, 4)        127.1000            0.000000
                      C( 78, 1)        410.5900            0.000000
                      C( 78, 2)        92.08000            0.000000
                      C( 78, 3)        372.2400            0.000000
                      C( 78, 4)        127.1000            0.000000
                      C( 79, 1)        453.7300            0.000000
                      C( 79, 2)        135.2200            0.000000
                      C( 79, 3)        380.1800            0.000000
                      C( 79, 4)        170.2500            0.000000
                      C( 80, 1)        453.7300            0.000000
                      C( 80, 2)        135.2200            0.000000
                      C( 80, 3)        380.1800            0.000000
                      C( 80, 4)        170.2500            0.000000
                      C( 81, 1)        459.1300            0.000000
                      C( 81, 2)        144.0300            0.000000
                      C( 81, 3)        347.4800            0.000000
